id,name,description
409,Environmental Litigation,"An article that covers a legal action related to environmental or climate matters such as Industrial Accidents, Oil spills, or the effects of climate change."
408,Employment Litigation,"An article that covers legal disputes between employers and employees, and which may be related to wrongful termination, workplace discrimination, harassment, retaliation, wage and hour disputes, or breach of employment contracts."
407,"Diversity, Equity and Inclusion (DEI)","An article that covers strategies and initiatives for promoting Diversity, Equity, and Inclusion (DEI) in the workplace, emphasizing its importance in fostering a more inclusive and equitable environment."
406,Digital Transformation,"An article that covers the process of leveraging digital technologies to fundamentally transform business operations and deliver value to customers, employees, and stakeholders."
394,Executive Change,An article that covers a company's announcement of a change in its leadership or management structure.
393,ESG,"An article that discusses the growing trend of investing in companies that prioritize Environmental, Social, and Governance (ESG) factors, including a company's corporate social responsibility initiatives and programs, which may include charitable donations, volunteer work, sustainability efforts, and other actions aimed at making a positive impact on society and the environment"
371,Analyst Opinion,"An article that provides expert analysis on a company, industry, or specific market segment based on relevant data and insights or an article that reports on the findings of a research study or project, including changes in consumer demand, market competition, and economic conditions."
369,IPO,An article that covers the announcement of a company's plans to go public by selling shares of its stock to the public for the first time.
357,Breach of Contract,An article that covers a legal dispute between two parties where one party has failed to fulfill their obligations as outlined in a previously agreed-upon contract.
279,Aboriginal/Indigenous issues,"An article that covers the impact of land dispossession and cultural appropriation on Aboriginal/Indigenous communities, highlighting the need for land rights and cultural preservation."
278,Privacy/Data Breach Litigation,An article that covers legal action taken against a company or organization for a violation of privacy or a data breach. This may include lawsuits filed by individuals or groups seeking damages for the mishandling of personal information or sensitive data.
275,Patent or Trademark Litigation,"An article that reports on a legal dispute between companies over intellectual property rights, such as patents or trademarks."
271,Cartel/Dominance Investigation,An article that covers an investigation into possible anti-competitive behavior by companies in a specific industry or market.
249,Legislation,"An article that covers a new law or bill, or regulation that has been introduced or passed by a governing body, such as a government or a legislative body."
247,Financing (Debt or Equity),"An article that covers a company's efforts to raise capital from investors through equity offerings or by borrowing money from external sources such as banks, investors, or bonds or covers the act of an investor such as a venture capital or private equity firm allocating financial resources with the expectation of generating profitable returns in the future."
242,Regulatory/Policy Change,"An article that provides information on new regulations, standards, or policies imposed by government bodies or industry associations, and their impact on businesses or individuals."
225,White Collar/Business Crimes,"An article that reports on illegal activities committed by individuals or organizations in the context of business or finance, including but not limited to financial fraud or fraudulent investment schemes, corruption, money laundering, bribery or other types of misconduct, often resulting in legal or regulatory action."
195,Conference/Event,"An article that covers an upcoming or recent gathering of individuals with a shared interest or industry focus, often including presentations, panels, and networking opportunities."
122,Private Equity Transaction,"An article that covers a deal in which a private equity firm invests in a company by buying a significant stake in it, often with the aim of helping the company grow and become more profitable."
120,M&A,"An article that analyzes or discusses a company's decision to merge with or acquire another company, or to be acquired by another company or an official statement or press release issued by a company to announce that it will be separating a particular division or business unit into an independent company."
49,Product Liability Litigation,"An article that covers lawsuits against product providers due to harm caused by defects or misinformation. This involves disputes around manufacturing errors, design flaws, or inadequate labels."
47,Cybersecurity Breach,An article that covers cyber security incidents or threats against a company or government entities.
45,Class Action,"An article that covers a legal action filed against a company for actions that could harm many people,  such as a defective product, unfair business practices, or environmental contamination."
34,Financial Analysis,"An article that evaluates financial data and information to gain insights into the financial health and performance of industries, Sectors, Companies, businesses, projects, budgets, and other finance-related transactions."
15,Securities Litigation,"An article that reports on legal action involving securities or investments, typically including allegations of fraud, misrepresentation, or other violations of securities laws."
14,R&D/Innovation Announcement,An article that reports on a company's announcement regarding a new research and development project or innovation.
12,Patent or Trademark Announcement,An article that reports on an official statement or press release issued by a company to announce the approval and registration of a patent or trademark.
8,IP Licensing & Agreements,An article that covers the details of an agreement or contract between two or more parties related to the licensing and use of intellectual property (IP).
3,Regulatory Event - Approval/Ban/Fine,"An article that reports on the action of a regulatory body as applied to a company's product or service whether a positive act such as an approval, or a negative act such as the imposition of a ban, recall, or fine."
